rank,GID_3,NAME_3,NAME_2,NAME_1,TYPE_3,cells,risk_mean,risk_max,risk_p75,risk_p90,risk_p95,class_max,class_3plus_cells,class_3plus_pct,risk_mean_norm,risk_max_norm,risk_p75_norm,risk_p90_norm,risk_p95_norm
24,THA.10.5.6_1,ThaDuea,DoiTao,ChiangMai,Tambon,23485,0.35242176055908203,0.5070611834526062,0.37395963072776794,0.4328094720840454,0.45212092995643616,3,1312,5.586544602938045,0.16469455807528713,0.7131283549548139,0.2410793226604721,0.44979221964925564,0.5182809398349658
25,THA.10.16.9_1,Suthep,MuangChiangMai,ChiangMai,Tambon,2931,0.3652570843696594,0.5206695199012756,0.4065491855144501,0.4312554597854614,0.44691234827041626,3,130,4.435346298191743,0.2102154559155489,0.7613907675279429,0.35665925005440646,0.4442808639460161,0.49980853365955014
26,THA.11.9.7_1,WiangPhangKham,MaeSai,ChiangRai,Tambon,2141,0.3681039810180664,0.5083818435668945,0.4024916887283325,0.42971351742744446,0.4472507834434509,3,96,4.483886034563288,0.2203120684674755,0.7178121194652725,0.34226920431704544,0.43881231468378246,0.5010088051263726
27,THA.10.7.5_1,HangDong,HangDong,ChiangMai,Tambon,769,0.3802245259284973,0.5061125159263611,0.40722769498825073,0.429630309343338,0.44486406445503235,3,28,3.6410923276983094,0.2632979794408591,0.7097638743866657,0.3590656062084348,0.43851721447813186,0.4925442277733897
28,THA.10.4.9_1,SanPuLoei,DoiSaket,ChiangMai,Tambon,1690,0.3751913905143738,0.505725622177124,0.4026545286178589,0.429572731256485,0.4416780471801758,3,55,3.2544378698224854,0.24544779923631196,0.7083917429863232,0.3428467213384189,0.4383130119002963,0.4812449127715712
29,THA.75.7.5_1,PhaLueat,ThaPla,Uttaradit,Tambon,41409,0.36220404505729675,0.5858909487724304,0.37898778915405273,0.429427832365036,0.4452677071094513,3,1627,3.9290975391823033,0.19938775162920785,0.9927007090966223,0.2589118518140366,0.43779912321839326,0.49397575971656005
30,THA.47.7.11_1,WiangThong,SungMen,Phrae,Tambon,882,0.3772996962070465,0.5162916779518127,0.4060850143432617,0.4292740225791931,0.44119739532470703,3,18,2.0408163265306123,0.25292497468342523,0.7458646071378102,0.35501305173671016,0.43725363175658716,0.4795402651652915
31,THA.10.7.3_1,BanWaen,HangDong,ChiangMai,Tambon,1081,0.3799913823604584,0.5072044134140015,0.4076330065727234,0.42920875549316406,0.4435029923915863,3,42,3.885291396854764,0.2624711281124907,0.7136363247214172,0.3605030570669048,0.43702215989040705,0.4877171409567483
32,THA.19.7.1_1,BaHaeo,MuangLampang,Lampang,Tambon,2319,0.37454989552497864,0.5162199139595032,0.4031188488006592,0.4289659559726715,0.4468458294868469,3,85,3.6653730056058644,0.24317271616803504,0.7456100937799282,0.34449344813069555,0.4361610634092339,0.49957262260689533
33,THA.47.3.12_1,ThungKwao,MuangPhrae,Phrae,Tambon,697,0.3864456117153168,0.49766039848327637,0.412752628326416,0.428080677986145,0.43867236375808716,3,16,2.295552367288379,0.2853612646946321,0.679788162021428,0.37865996391786955,0.43302139592755373,0.4705851577068558
